1591576490,7c1c6a,-33.6758,151.1128
1591576490,7c2f05,-33.7814,150.5721
1591576490,7c6045,-34.1224,150.4787
1591576490,7c0adc,-33.9089,150.7121
1591576490,a2cb12,-34.0495,151.1816
1591576490,7c5c99,-34.4281,150.8946
1591576490,7c01c1,-33.8235,151.1441
1591576490,7c28bb,-33.9467,150.9938
1591576490,7c162b,-33.5243,150.2433
1591576490,7c6698,-33.3919,151.4993
1591576490,c0175a,-34.2685,151.6318
1591576490,7c3007,-34.8856,149.611
1591576490,7c06d2,-33.8313,150.992
1591576490,7c2a34,-33.6521,151.278
1591576490,7c443b,-33.9336,150.9731
1591576490,7c3dcc,-33.0625,150.8265
1591576490,7c58d5,-33.2715,151.4414
